time,ax,ay,az,atotal
3.947357177734375,0.11,0.02,0.01,0.11
3.9607269763946533,0.07,0.05,-0.02,0.08
3.9675660133361816,0.1,0.09,-0.07,0.15
3.9779272079467773,0.06,0.07,-0.03,0.09
3.9877970218658447,0.04,0.01,0.04,0.05
3.9981589317321777,-0.01,-0.05,-0.06,0.07
4.00827693939209,-0.03,-0.2,-0.26,0.32
4.018594026565552,0.06,-0.08,0.13,0.16
4.021265983581543,0.07,-0.08,0.12,0.16
4.03751802444458,0.02,-0.02,0.11,0.11
4.039567947387695,0.04,-0.14,-0.1,0.17
4.048253059387207,0.05,-0.06,-0.03,0.08
4.058929920196533,-0.02,-0.03,-0.08,0.08
4.06784200668335,0.01,-0.1,-0.2,0.22
4.07863187789917,0.04,-0.1,-0.14,0.17
4.087862014770508,0.04,-0.06,-0.05,0.08
4.09882116317749,0.04,-0.1,-0.09,0.14
4.10874605178833,0.05,-0.04,-0.06,0.08
4.118715047836304,0.05,0.01,0.01,0.05
4.140603065490723,0.05,0.05,-0.02,0.07
4.14254903793335,0.01,0.05,-0.09,0.1
4.147889137268066,0.04,0.02,-0.14,0.14
4.159942150115967,0.05,0.03,-0.12,0.13
4.1679768562316895,0.03,-0.03,-0.1,0.1
4.177717208862305,0.03,-0.08,-0.08,0.11
4.187761068344116,0.03,-0.1,-0.06,0.12
4.198258876800537,0.06,-0.14,-0.08,0.17
4.209047079086304,0.1,-0.12,-0.15,0.21
4.218515872955322,0.07,-0.08,-0.2,0.22
4.238688945770264,0.07,-0.02,-0.13,0.14
4.241055965423584,0.04,0.05,-0.07,0.09
4.24718713760376,-0.01,0.06,-0.06,0.08
4.257896900177002,-0.03,0.04,-0.04,0.06
4.267723083496094,-0.02,0.0,-0.04,0.04
4.277817010879517,0.0,0.01,-0.06,0.06
4.28737998008728,-0.02,0.01,-0.06,0.06
4.297657012939453,0.01,-0.02,-0.06,0.06
4.308474063873291,0.07,-0.01,-0.12,0.13
4.3177289962768555,0.08,-0.03,-0.11,0.13
4.337327003479004,0.09,0.0,-0.03,0.09
4.339734077453613,0.04,0.02,-0.04,0.06
4.3474249839782715,0.03,-0.05,-0.08,0.09
4.35745906829834,0.02,-0.04,-0.1,0.1
4.367074012756348,0.01,-0.02,-0.16,0.16
4.37716817855835,0.02,-0.01,-0.18,0.18
4.38705587387085,-0.01,0.02,-0.12,0.12
4.397200107574463,0.02,0.03,-0.1,0.1
4.407380104064941,-0.01,0.03,-0.07,0.07
4.4170451164245605,0.0,-0.02,-0.05,0.05
4.435074090957642,0.03,-0.05,-0.08,0.09
4.436601161956787,0.01,-0.01,-0.07,0.07
4.446939945220947,-0.02,0.0,-0.14,0.14
4.456629991531372,-0.07,0.01,-0.11,0.13
4.466593980789185,-0.17,0.03,-0.43,0.46
4.476629972457886,0.01,0.05,0.02,0.05
4.48680305480957,0.03,-0.08,-0.06,0.1
4.4965660572052,-0.07,0.11,-0.23,0.26
4.506874084472656,0.01,0.12,-0.07,0.13
4.5165300369262695,0.04,0.03,-0.09,0.1
4.534623146057129,0.0,-0.01,-0.08,0.08
4.536456108093262,-0.01,-0.07,-0.09,0.11
4.546915054321289,0.03,-0.12,-0.02,0.12
4.556150913238525,0.05,-0.09,0.04,0.11
4.56622314453125,0.06,-0.05,0.03,0.08
4.576369047164917,0.03,0.01,-0.02,0.03
4.586099147796631,-0.03,0.05,-0.13,0.14
